"Posted.Date","Facilities.Number","Rental.Price","House.Size","Floor","Area.Type","House.Locality","House.City","House.Furnishing","Tenant.Targeted","Bathroom.Number","Contact.Person","Rent.Per.Unit","Current.Floor","Total.Floor","Difference.Floor"
2022-04-29,3,1e+05,1740,"21 out of 22","Super","Powai","Mumbai","Furnished","Bachelors/Family",4,"Owner",57.47,21,22,1
2022-06-16,2,55000,750,"8 out of 14","Carpet","Chembur","Mumbai","Furnished","Bachelors/Family",2,"Agent",73.33,8,14,6
2022-06-14,3,70000,1000,"12 out of 20","Carpet","Nahar Amrit Shakti powai, Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",70,12,20,8
2022-06-29,1,30000,500,"3 out of 4","Super","Sion","Mumbai","Furnished","Bachelors/Family",1,"Owner",60,3,4,1
2022-06-28,4,330000,2000,"11 out of 12","Carpet","Mehboob Studio","Mumbai","Semi-Furnished","Bachelors",5,"Agent",165,11,12,1
2022-06-13,1,75000,550,"7 out of 10","Carpet","Bandra West","Mumbai","Furnished","Bachelors/Family",2,"Agent",136.36,7,10,3
2022-06-27,1,14000,270,"6 out of 7","Carpet","Poisar","Mumbai","Unfurnished","Bachelors",1,"Owner",51.85,6,7,1
2022-07-06,3,130000,960,"9 out of 21","Carpet","7 Bungalows Andheri West","Mumbai","Semi-Furnished","Family",3,"Agent",135.42,9,21,12
2022-04-29,3,40000,1200,"2 out of 4","Super","Kandivali West","Mumbai","Semi-Furnished","Family",2,"Owner",33.33,2,4,2
2022-05-27,2,46000,710,"15 out of 18","Carpet","Ajmera Bhakti Park, Bhakti Park","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",64.79,15,18,3
2022-07-04,1,27000,472,"13 out of 14","Carpet","Marathon Embryo, Bhandup West","Mumbai","Semi-Furnished","Bachelors",2,"Owner",57.2,13,14,1
2022-05-26,2,95000,1000,"10 out of 13","Carpet","Bandra West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",95,10,13,3
2022-07-09,2,94000,800,"14 out of 18","Carpet","Kanakia Hollywood, Sai Nagar","Mumbai","Semi-Furnished","Family",2,"Agent",117.5,14,18,4
2022-06-30,2,40000,650,"7 out of 11","Carpet","Gaurav Heights, Kandivali West","Mumbai","Unfurnished","Bachelors",2,"Agent",61.54,7,11,4
2022-07-04,3,150000,1300,"6 out of 7","Carpet","Seven Bungalows","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",115.38,6,7,1
2022-07-07,2,30000,600,"2 out of 5","Carpet","Gokul Apartment, Evershine Nagar","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",50,2,5,3
2022-06-16,2,95000,750,"7 out of 10","Carpet","Opera House","Mumbai","Furnished","Bachelors",2,"Agent",126.67,7,10,3
2022-06-16,2,130000,890,"45 out of 77","Carpet","Lodha The Park, Worli","Mumbai","Semi-Furnished","Family",2,"Agent",146.07,45,77,32
2022-05-27,1,14000,421,"3 out of 4","Carpet","Borivali East","Mumbai","Unfurnished","Bachelors/Family",1,"Agent",33.25,3,4,1
2022-05-27,3,1e+05,1300,"12 out of 24","Carpet","L&T Emerald Isle, Powai","Mumbai","Semi-Furnished","Family",3,"Agent",76.92,12,24,12
2022-07-05,1,35000,350,"2 out of 3","Super","Dadar West","Mumbai","Unfurnished","Bachelors/Family",1,"Owner",100,2,3,1
2022-06-07,2,57000,800,"5 out of 20","Carpet","Nahar Amrit Shakti powai, Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",71.25,5,20,15
2022-07-06,2,45000,650,"5 out of 6","Carpet","Santacruz East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner",69.23,5,6,1
2022-04-29,1,11000,650,"18 out of 19","Super","Mira Road","Mumbai","Furnished","Bachelors/Family",2,"Owner",16.92,18,19,1
2022-05-14,2,50000,650,"10 out of 20","Carpet","Sheth Montana, Mulund West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",76.92,10,20,10
2022-05-27,2,35000,680,"12 out of 20","Carpet","Parinee Adney, Borivali West","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",51.47,12,20,8
2022-07-06,2,1e+05,800,"1 out of 5","Carpet","Bandra West","Mumbai","Furnished","Bachelors/Family",2,"Agent",125,1,5,4
2022-07-06,3,130000,1250,"12 out of 29","Carpet","Adani Western Heights, 4 Bunglows","Mumbai","Semi-Furnished","Family",3,"Agent",104,12,29,17
2022-05-23,1,52000,475,"10 out of 18","Carpet","Shivaji Park","Mumbai","Unfurnished","Bachelors/Family",1,"Agent",109.47,10,18,8
2022-07-07,2,28000,600,"1 out of 5","Carpet","Gokul Apartment, Evershine Nagar","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",46.67,1,5,4
2022-04-29,1,18000,450,"2 out of 4","Super","Nem Vihar, Mulund West","Mumbai","Unfurnished","Bachelors/Family",1,"Owner",40,2,4,2
2022-06-04,1,30000,400,"3 out of 6","Super","Bhatti Pada","Mumbai","Unfurnished","Bachelors",1,"Owner",75,3,6,3
2022-07-06,3,45000,985,"Lower Basement out of 18","Carpet","Gemstar Symphony Apartment, Kandivali West","Mumbai","Unfurnished","Family",3,"Agent",45.69,-2,18,20
2022-05-27,3,130000,1450,"3 out of 7","Carpet","Shivaji Park","Mumbai","Unfurnished","Bachelors",3,"Agent",89.66,3,7,4
2022-05-27,2,58000,650,"15 out of 24","Carpet","L&T Emerald Isle, Powai","Mumbai","Semi-Furnished","Family",2,"Agent",89.23,15,24,9
2022-07-06,2,65000,805,"48 out of 68","Carpet","Auris Serenity, Kanch Pada","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",80.75,48,68,20
2022-05-27,1,24000,650,"3 out of 4","Super","Malad East","Mumbai","Semi-Furnished","Bachelors/Family",1,"Owner",36.92,3,4,1
2022-07-09,1,54500,515,"12 out of 42","Carpet","Lodha New Cuffe Parade, Wadala East","Mumbai","Unfurnished","Bachelors/Family",1,"Agent",105.83,12,42,30
2022-06-12,3,70000,1000,"15 out of 20","Carpet","Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",70,15,20,5
2022-06-07,3,67000,1050,"6 out of 8","Carpet","Chembur","Mumbai","Semi-Furnished","Family",3,"Agent",63.81,6,8,2
2022-07-09,2,75000,777,"17 out of 22","Carpet","Hiranandani Castle Rock, Powai","Mumbai","Furnished","Bachelors/Family",2,"Agent",96.53,17,22,5
2022-06-11,2,45000,831,"16 out of 22","Carpet","Kaustubh Platinum, Datta Pada","Mumbai","Unfurnished","Family",2,"Agent",54.15,16,22,6
2022-07-06,3,98000,1233,"35 out of 68","Carpet","Auris Serenity, Kanch Pada","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent",79.48,35,68,33
2022-06-11,1,16000,250,"4 out of 10","Carpet","Charkop","Mumbai","Unfurnished","Bachelors/Family",1,"Owner",64,4,10,6
2022-05-14,2,95000,900,"18 out of 30","Carpet","Oberoi Springs, Andheri West","Mumbai","Semi-Furnished","Bachelors",2,"Agent",105.56,18,30,12
2022-07-06,2,40000,753,"11 out of 31","Carpet","Omkar Ananta, Film City Road","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",53.12,11,31,20
2022-06-10,3,3e+05,1800,"8 out of 12","Carpet","Bandra West","Mumbai","Furnished","Bachelors",3,"Agent",166.67,8,12,4
2022-07-06,2,80000,670,"5 out of 17","Carpet","Matunga East","Mumbai","Unfurnished","Bachelors",2,"Agent",119.4,5,17,12
2022-07-09,4,380000,2800,"50 out of 75","Carpet","Omkar 1973, Worli","Mumbai","Semi-Furnished","Bachelors/Family",4,"Agent",135.71,50,75,25
2022-07-09,3,160000,1197,"18 out of 26","Carpet","Aristo Pearl Residency, Prabhadevi","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",133.67,18,26,8
2022-06-27,2,44000,880,"12 out of 27","Carpet","orchid suburbia","Mumbai","Unfurnished","Bachelors",2,"Owner",50,12,27,15
2022-05-16,2,2e+05,1000,"7 out of 8","Carpet","Union Park","Mumbai","Furnished","Bachelors/Family",2,"Agent",200,7,8,1
2022-04-29,2,65000,935,"2 out of 7","Super","Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner",69.52,2,7,5
2022-07-06,2,50000,751,"16 out of 20","Carpet","Raj Legacy, Vikhroli West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",66.58,16,20,4
2022-07-04,1,6000,200,"Ground out of 5","Super","Sonal Apartment, Bhandari Compound","Mumbai","Unfurnished","Bachelors/Family",1,"Owner",30,0,5,5
2022-06-13,4,280000,2500,"24 out of 55","Carpet","Island City Centre, Dadar East","Mumbai","Semi-Furnished","Bachelors/Family",6,"Agent",112,24,55,31
2022-07-09,1,46000,500,"6 out of 8","Carpet","Sundar Nagar, Kalina","Mumbai","Furnished","Family",1,"Agent",92,6,8,2
2022-05-31,1,35000,430,"15 out of 23","Carpet","Conwood Astoria, Film City Road","Mumbai","Furnished","Bachelors/Family",1,"Agent",81.4,15,23,8
2022-07-06,3,75000,1088,"16 out of 37","Carpet","Sunteck City Avenue 1, Goregaon West","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",68.93,16,37,21
2022-05-10,1,20000,330,"4 out of 8","Carpet","Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",1,"Owner",60.61,4,8,4
2022-04-29,1,25000,400,"Upper Basement out of 7","Carpet","shanti kutir tunga village powai","Mumbai","Unfurnished","Bachelors/Family",1,"Owner",62.5,-1,7,8
2022-06-27,3,110000,1200,"6 out of 15","Carpet","Salvation CHS, Dadar West","Mumbai","Furnished","Bachelors/Family",3,"Agent",91.67,6,15,9
2022-06-28,2,29500,700,"2 out of 7","Carpet","Borivali West","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",42.14,2,7,5
2022-07-09,3,53000,1000,"16 out of 32","Carpet","Mahindra Splendour, Bhandup West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",53,16,32,16
2022-06-12,2,85000,750,"11 out of 27","Carpet","Hiranandani Atlantis, Hiranandani Gardens","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",113.33,11,27,16
2022-06-12,1,26000,450,"6 out of 10","Carpet","Goregaon West","Mumbai","Unfurnished","Bachelors",2,"Agent",57.78,6,10,4
2022-04-29,1,33000,640,"11 out of 23","Super","Bhandup West","Mumbai","Furnished","Bachelors/Family",2,"Owner",51.56,11,23,12
2022-07-08,3,180000,1190,"5 out of 12","Carpet","L Nagpal Ruby, Turner Road","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",151.26,5,12,7
2022-06-23,3,70000,850,"5 out of 8","Super","Chembur","Mumbai","Unfurnished","Bachelors",3,"Agent",82.35,5,8,3
2022-07-07,1,17000,330,"Ground out of 7","Carpet","Jankalyan Nagar","Mumbai","Semi-Furnished","Bachelors/Family",1,"Agent",51.52,0,7,7
2022-05-13,2,37000,685,"10 out of 18","Carpet","Mulund West","Mumbai","Semi-Furnished","Bachelors",2,"Agent",54.01,10,18,8
2022-06-12,1,27000,400,"6 out of 10","Carpet","Goregaon West","Mumbai","Unfurnished","Bachelors",2,"Agent",67.5,6,10,4
2022-06-15,1,35500,500,"8 out of 13","Carpet","Mayfair Sonata Greens, Park Site Colony","Mumbai","Furnished","Bachelors/Family",2,"Agent",71,8,13,5
2022-05-24,1,24000,550,"2 out of 4","Carpet","Mulund West","Mumbai","Unfurnished","Bachelors",1,"Agent",43.64,2,4,2
2022-06-11,4,250000,2500,"2 out of 8","Carpet","Juhu","Mumbai","Unfurnished","Bachelors/Family",4,"Agent",100,2,8,6
2022-05-14,3,180000,1100,"6 out of 15","Carpet","JVPD Scheme","Mumbai","Furnished","Family",3,"Agent",163.64,6,15,9
2022-05-31,2,18500,650,"3 out of 12","Carpet","Swayam Apartment, Poonam Gardens","Mumbai","Unfurnished","Family",2,"Agent",28.46,3,12,9
2022-07-09,3,2e+05,1400,"8 out of 17","Carpet","Hill Road, Bandra West","Mumbai","Furnished","Bachelors/Family",3,"Agent",142.86,8,17,9
2022-07-04,2,70000,1050,"14 out of 15","Carpet","Godrej Prime, Chembur","Mumbai","Furnished","Bachelors/Family",2,"Agent",66.67,14,15,1
2022-06-04,3,55000,850,"6 out of 7","Carpet","Goregaon West","Mumbai","Unfurnished","Bachelors",3,"Agent",64.71,6,7,1
2022-05-23,1,24000,550,"Ground out of 4","Carpet","Ghatkopar West","Mumbai","Unfurnished","Bachelors",1,"Agent",43.64,0,4,4
2022-06-23,2,55000,750,"5 out of 8","Carpet","Chandivali","Mumbai","Furnished","Bachelors/Family",2,"Agent",73.33,5,8,3
2022-07-09,3,150000,1350,"23 out of 25","Carpet","Kalpataru Antariksha, Prabhadevi","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",111.11,23,25,2
2022-06-25,2,50000,800,"5 out of 8","Carpet","Santacruz East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",62.5,5,8,3
2022-07-06,4,3e+05,2650,"14 out of 48","Carpet","Lodha Bellissimo, Mahalakshmi","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",113.21,14,48,34
2022-07-06,3,90100,975,"29 out of 35","Carpet","Goregaon East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",92.41,29,35,6
2022-06-16,3,57000,1325,"15 out of 36","Carpet","Raheja Exotica Sorento, Madh","Mumbai","Furnished","Bachelors/Family",4,"Agent",43.02,15,36,21
2022-04-29,2,40000,700,"3 out of 6","Super","Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Owner",57.14,3,6,3
2022-07-09,2,80000,700,"3 out of 8","Carpet","Hindu Colony","Mumbai","Furnished","Family",2,"Agent",114.29,3,8,5
2022-06-23,2,95000,850,"15 out of 25","Carpet","Powai","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",111.76,15,25,10
2022-06-22,1,14000,305,"10 out of 24","Carpet","Ekta Nagar","Mumbai","Unfurnished","Bachelors",1,"Agent",45.9,10,24,14
2022-06-14,2,50000,850,"8 out of 10","Carpet","Dsk Madhuban, Sakinaka Junction","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",58.82,8,10,2
2022-06-14,2,43000,724,"6 out of 11","Carpet","Akruti Orchid Park, Sakinaka Junction","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",59.39,6,11,5
2022-06-12,2,55000,650,"8 out of 16","Carpet","Andheri West","Mumbai","Furnished","Bachelors",2,"Agent",84.62,8,16,8
2022-06-16,2,35000,650,"5 out of 7","Carpet","Nahur Gaothan","Mumbai","Unfurnished","Family",2,"Agent",53.85,5,7,2
2022-06-15,2,33000,700,"15 out of 28","Carpet","Acme Avenue, Kandivali West","Mumbai","Unfurnished","Bachelors",2,"Agent",47.14,15,28,13
2022-05-26,2,47000,785,"4 out of 7","Carpet","JB Nagar","Mumbai","Furnished","Bachelors/Family",2,"Agent",59.87,4,7,3
2022-06-27,3,75000,1250,"15 out of 20","Carpet","Laksharia Tower, Andheri West","Mumbai","Semi-Furnished","Family",3,"Agent",60,15,20,5
2022-07-07,4,45000,1016,"3 out of 36","Carpet","Oasis, Lokhandwala Twp","Mumbai","Unfurnished","Bachelors/Family",3,"Agent",44.29,3,36,33
2022-05-28,1,36000,380,"12 out of 20","Carpet","Mazgaon","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",94.74,12,20,8
2022-05-14,1,40000,475,"18 out of 23","Carpet","Sanghvi Evana, Worli","Mumbai","Unfurnished","Bachelors",1,"Agent",84.21,18,23,5
2022-07-03,1,40000,444,"8 out of 11","Carpet","Sakinaka Junction","Mumbai","Unfurnished","Bachelors",2,"Agent",90.09,8,11,3
2022-06-20,2,32000,640,"6 out of 20","Carpet","GSA Grandeur, Gokuldham","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",50,6,20,14
2022-06-02,1,17000,320,"23 out of 23","Carpet","Midas PMGP Mhada Colony, PMGP Colony","Mumbai","Unfurnished","Bachelors/Family",1,"Owner",53.12,23,23,0
2022-05-13,3,77000,1100,"16 out of 21","Carpet","Auris Serenity, Adarsh Nagar","Mumbai","Unfurnished","Bachelors/Family",4,"Agent",70,16,21,5
2022-06-16,4,290000,1500,"5 out of 15","Carpet","Benchmark Solus, Waterfield Road","Mumbai","Furnished","Bachelors/Family",3,"Agent",193.33,5,15,10
2022-05-18,2,35000,650,"6 out of 8","Carpet","Evershine Millenium Paradise, Thakur Village, Kandivali East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",53.85,6,8,2
2022-05-19,1,40000,508,"16 out of 18","Carpet","Kanakia Sevens, Marol Maroshi Road","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",78.74,16,18,2
2022-07-09,4,250000,2500,"2 out of 10","Carpet","JVPD Scheme","Mumbai","Furnished","Bachelors/Family",4,"Agent",100,2,10,8
2022-05-22,2,47000,720,"Upper Basement out of 16","Carpet","Chembur","Mumbai","Unfurnished","Bachelors",2,"Agent",65.28,-1,16,17
2022-04-29,2,50000,750,"Ground out of 5","Super","D.N. Nagar","Mumbai","Unfurnished","Bachelors/Family",2,"Owner",66.67,0,5,5
2022-06-27,1,32000,430,"2 out of 3","Carpet","Sion East, Sion Koliwada","Mumbai","Unfurnished","Family",1,"Agent",74.42,2,3,1
2022-06-20,2,8000,623,"6 out of 7","Carpet","Shreenath nagar, Morya Nagar","Mumbai","Unfurnished","Family",2,"Agent",12.84,6,7,1
2022-07-09,3,240000,1358,"40 out of 50","Carpet","Lodha Kiara, Worli Hill","Mumbai","Semi-Furnished","Family",4,"Agent",176.73,40,50,10
2022-07-07,3,85000,1000,"4 out of 11","Carpet","Lodha Eternis, Chakala MIDC","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",85,4,11,7
2022-06-28,3,65000,1100,"25 out of 28","Carpet","Sejal Tower, Goregaon West","Mumbai","Unfurnished","Bachelors",3,"Agent",59.09,25,28,3
2022-07-03,3,75000,1255,"12 out of 17","Carpet","Bhakti Park","Mumbai","Furnished","Bachelors/Family",3,"Owner",59.76,12,17,5
2022-05-27,1,26500,450,"5 out of 8","Carpet","Vasant Sagar, Thakur Village, Kandivali East","Mumbai","Furnished","Family",2,"Agent",58.89,5,8,3
2022-06-16,2,45000,650,"3 out of 7","Carpet","Akruti Aneri, Marol","Mumbai","Furnished","Bachelors/Family",2,"Agent",69.23,3,7,4
2022-07-06,2,95000,955,"34 out of 40","Carpet","Lodha New Cuffe Parade, Bhakti Park","Mumbai","Semi-Furnished","Bachelors",2,"Agent",99.48,34,40,6
2022-05-22,2,38000,700,"Upper Basement out of 22","Carpet","Altavista, Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",54.29,-1,22,23
2022-07-06,3,260000,1915,"8 out of 23","Super","Ashford Casa Grande, Lower Parel","Mumbai","Semi-Furnished","Family",4,"Agent",135.77,8,23,15
2022-06-03,4,3e+05,2308,"9 out of 31","Carpet","Windsor Grande Residences, Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",6,"Agent",129.98,9,31,22
2022-07-09,3,180000,1250,"11 out of 13","Carpet","Ekta Trinity, Santacruz West","Mumbai","Semi-Furnished","Family",3,"Agent",144,11,13,2
2022-06-04,2,40000,625,"6 out of 14","Carpet","Kailash Tower, Powai","Mumbai","Semi-Furnished","Bachelors",2,"Agent",64,6,14,8
2022-05-17,4,3e+05,2200,"7 out of 8","Carpet","JVPD Scheme","Mumbai","Furnished","Family",4,"Agent",136.36,7,8,1
2022-06-20,2,85000,870,"5 out of 21","Carpet","Royal Residency, Lal Baug","Mumbai","Furnished","Bachelors/Family",2,"Agent",97.7,5,21,16
2022-06-04,3,110000,1300,"4 out of 12","Carpet","Kalina","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",84.62,4,12,8
2022-06-23,2,40000,750,"2 out of 8","Carpet","Techno Park I, Kandivali East","Mumbai","Unfurnished","Family",2,"Agent",53.33,2,8,6
2022-07-06,2,45000,750,"2 out of 8","Super","Andheri East","Mumbai","Furnished","Bachelors",2,"Owner",60,2,8,6
2022-06-04,2,52000,550,"3 out of 9","Carpet","Kalina","Mumbai","Furnished","Bachelors/Family",2,"Agent",94.55,3,9,6
2022-07-06,4,90000,1250,"2 out of 7","Carpet","Andheri West","Mumbai","Furnished","Family",4,"Agent",72,2,7,5
2022-07-09,3,140000,1400,"11 out of 13","Carpet","Insignia, Bandra Kurla Complex","Mumbai","Semi-Furnished","Family",3,"Agent",100,11,13,2
2022-06-23,3,150000,1330,"32 out of 59","Carpet","Oberoi Esquire, Goregaon East","Mumbai","Semi-Furnished","Family",4,"Agent",112.78,32,59,27
2022-06-23,3,65000,1000,"5 out of 10","Carpet","Chembur","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",65,5,10,5
2022-05-31,2,50000,770,"4 out of 14","Carpet","Sufalam CHS, Chembur East","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",64.94,4,14,10
2022-06-16,2,54000,800,"3 out of 7","Carpet","Shimpla Vighnaharta CHS, Seven Bungalows","Mumbai","Unfurnished","Family",2,"Agent",67.5,3,7,4
2022-05-29,4,180000,1691,"20 out of 32","Carpet","Oberoi Prisma, Agarkar Chowk","Mumbai","Semi-Furnished","Bachelors/Family",6,"Agent",106.45,20,32,12
2022-05-14,1,60000,550,"12 out of 20","Carpet","Neumec Elegance, Lower Parel","Mumbai","Furnished","Bachelors",2,"Agent",109.09,12,20,8
2022-07-09,2,65000,800,"10 out of 14","Carpet","Andheri West","Mumbai","Unfurnished","Family",2,"Agent",81.25,10,14,4
2022-07-09,2,35000,615,"6 out of 14","Carpet","Aspire, Thakur Village, Kandivali East","Mumbai","Unfurnished","Family",2,"Agent",56.91,6,14,8
2022-06-25,2,43000,663,"25 out of 43","Carpet","Wadhwa Atmosphere, Mulund West","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",64.86,25,43,18
2022-06-16,1,20000,400,"3 out of 4","Carpet","Bhandup","Mumbai","Semi-Furnished","Bachelors/Family",1,"Owner",50,3,4,1
2022-06-04,2,57000,625,"9 out of 18","Carpet","Panch Complex, Powai","Mumbai","Furnished","Bachelors",2,"Agent",91.2,9,18,9
2022-06-16,4,130000,1432,"12 out of 20","Carpet","Sabari Ashville, Chembur East","Mumbai","Unfurnished","Bachelors/Family",3,"Agent",90.78,12,20,8
2022-05-24,1,25000,425,"3 out of 5","Carpet","Mulund West","Mumbai","Unfurnished","Bachelors",1,"Agent",58.82,3,5,2
2022-06-12,2,56000,649,"5 out of 22","Carpet","Promenade At The Address, Ghatkopar West","Mumbai","Semi-Furnished","Bachelors",2,"Agent",86.29,5,22,17
2022-05-14,2,55000,905,"10 out of 37","Carpet","Sunteck City Avenue 1, Goregaon West","Mumbai","Unfurnished","Bachelors",2,"Agent",60.77,10,37,27
2022-04-27,2,18000,882,"10 out of 22","Super","DB Ozone, Mira Road","Mumbai","Unfurnished","Bachelors",2,"Owner",20.41,10,22,12
2022-06-27,3,1e+05,1200,"4 out of 15","Carpet","Salvation CHS, Dadar West","Mumbai","Furnished","Bachelors/Family",3,"Agent",83.33,4,15,11
2022-05-31,2,76000,736,"16 out of 36","Carpet","Rustomjee Elanza, Mindspace","Mumbai","Unfurnished","Family",2,"Agent",103.26,16,36,20
2022-07-09,3,270000,1710,"25 out of 48","Carpet","Lodha Bellissimo, Mahalakshmi","Mumbai","Furnished","Bachelors/Family",3,"Agent",157.89,25,48,23
2022-06-24,1,45000,225,"3 out of 6","Carpet","simla house at nepeasea road, Napean Sea Road","Mumbai","Unfurnished","Bachelors",1,"Owner",200,3,6,3
2022-05-22,2,39000,720,"Upper Basement out of 22","Carpet","Altavista, Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",54.17,-1,22,23
2022-06-07,1,12500,555,"6 out of 7","Super","Hubtown Gardenia, Mira Road","Mumbai","Unfurnished","Bachelors",1,"Owner",22.52,6,7,1
2022-07-07,1,35000,415,"2 out of 7","Super","Andheri East","Mumbai","Unfurnished","Bachelors/Family",1,"Owner",84.34,2,7,5
2022-06-12,2,55000,649,"4 out of 22","Carpet","Promenade At The Address, Ghatkopar West","Mumbai","Semi-Furnished","Bachelors",2,"Agent",84.75,4,22,18
2022-06-15,3,90000,1000,"3 out of 3","Carpet","Vile Parle West","Mumbai","Furnished","Bachelors",2,"Agent",90,3,3,0
2022-06-04,2,250000,1300,"Upper Basement out of 10","Carpet","Khar West","Mumbai","Furnished","Bachelors/Family",2,"Agent",192.31,-1,10,11
2022-06-24,2,25000,1065,"15 out of 15","Super","Gaurav Excellency, Mira Road","Mumbai","Furnished","Bachelors/Family",2,"Owner",23.47,15,15,0
2022-07-08,2,90000,854,"15 out of 20","Carpet","Kanakia Paris, Bandra Kurla Complex","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",105.39,15,20,5
2022-06-27,3,120000,1200,"5 out of 14","Carpet","Salvation CHS, Dadar West","Mumbai","Furnished","Bachelors/Family",3,"Agent",100,5,14,9
2022-06-06,1,55000,500,"8 out of 18","Carpet","Hiranandani Gardens","Mumbai","Unfurnished","Bachelors",1,"Agent",110,8,18,10
2022-05-31,3,70000,906,"7 out of 10","Carpet","Sanjona Gulmarg Towers, Chembur East","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",77.26,7,10,3
2022-06-22,3,3e+05,1800,"11 out of 11","Carpet","Bandra West","Mumbai","Furnished","Bachelors/Family",4,"Agent",166.67,11,11,0
2022-05-26,2,25000,500,"1 out of 3","Carpet","New Devchhaya Building","Mumbai","Furnished","Bachelors/Family",1,"Owner",50,1,3,2
2022-06-16,1,35000,450,"2 out of 7","Super","Goregaon West","Mumbai","Unfurnished","Bachelors/Family",1,"Owner",77.78,2,7,5
2022-07-09,3,120000,1130,"3 out of 7","Carpet","Bandra West","Mumbai","Semi-Furnished","Bachelors/Family",3,"Agent",106.19,3,7,4
2022-06-04,1,27000,495,"5 out of 7","Super","Andheri East","Mumbai","Furnished","Bachelors/Family",2,"Owner",54.55,5,7,2
2022-05-19,1,25000,407,"5 out of 23","Super","Devi Pada","Mumbai","Unfurnished","Bachelors/Family",2,"Owner",61.43,5,23,18
2022-06-16,3,150000,1092,"60 out of 77","Carpet","Lodha The Park, Worli","Mumbai","Semi-Furnished","Family",3,"Agent",137.36,60,77,17
2022-07-07,2,32000,610,"11 out of 18","Carpet","The Windsor, Kandivali East","Mumbai","Unfurnished","Family",2,"Agent",52.46,11,18,7
2022-07-07,1,40000,500,"13 out of 14","Super","Manavsthal, Andheri East","Mumbai","Furnished","Bachelors/Family",2,"Owner",80,13,14,1
2022-05-31,2,52000,750,"4 out of 20","Carpet","vanamali chs ghatla, Ghatla","Mumbai","Unfurnished","Bachelors/Family",2,"Agent",69.33,4,20,16
2022-06-18,2,80000,750,"6 out of 16","Carpet","lokhandwala residency, Worli","Mumbai","Furnished","Bachelors",2,"Agent",106.67,6,16,10
2022-06-23,2,55000,850,"6 out of 10","Carpet","Adityavardhan Apartment, Raheja Vihar","Mumbai","Furnished","Bachelors/Family",2,"Agent",64.71,6,10,4
2022-06-04,1,30000,350,"5 out of 16","Carpet","Prabhadevi","Mumbai","Unfurnished","Bachelors/Family",1,"Agent",85.71,5,16,11
2022-06-04,1,20000,300,"2 out of 12","Carpet","Sundar Nagar, Kalina","Mumbai","Semi-Furnished","Bachelors/Family",1,"Agent",66.67,2,12,10
2022-05-23,1,85000,695,"2 out of 7","Carpet","Union Park","Mumbai","Furnished","Bachelors/Family",2,"Agent",122.3,2,7,5
2022-06-16,1,40000,415,"15 out of 22","Carpet","Kanakia Rainforest, Andheri East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Agent",96.39,15,22,7
